Galaxy ID,Stellar Mass [Mo],g band,r band,Probability is spiral
158877,3744538600.0,-17.308851,-18.051323,0.6498541831970215
158879,7698056700.0,-17.849241,-18.640955,0.26185786724090576
158883,3481368000.0,-17.40316,-18.132368,0.9367852210998535
158887,3153373400.0,-17.197805,-17.940582,0.3401130735874176
158888,3130658600.0,-17.048763,-17.802143,0.44863712787628174
158890,3046466300.0,-17.155087,-17.899588,0.42397579550743103
158898,3472166100.0,-17.024704,-17.814913,0.5617222785949707
161162,736279000000.0,-22.020586,-22.76347,0.833427906036377
161163,159305800000.0,-20.79493,-21.590319,0.002919703722000122
161164,129462100000.0,-21.115637,-21.881178,0.01610812544822693
161165,67430547000.0,-20.598202,-21.307112,0.7544682025909424
161166,49145233000.0,-20.007639,-20.775747,0.08907938003540039
161167,49533936000.0,-19.946192,-20.729536,0.22669142484664917
161168,40048644000.0,-19.79752,-20.565275,0.1293204128742218
161169,37852217000.0,-19.680286,-20.454979,0.09173741936683655
161170,46050755000.0,-19.7996,-20.591623,0.028643101453781128
161171,51904897000.0,-19.752638,-20.586311,0.4665207862854004
161172,19550271000.0,-19.13441,-19.884087,0.21343174576759338
161173,19019176000.0,-18.917448,-19.704575,0.16488099098205566
161174,28296704000.0,-19.883528,-20.403036,0.9716569781303406
161175,9382188000.0,-18.723082,-19.275192,0.2544843852519989
161176,13459975000.0,-19.309633,-19.801006,0.3049718737602234
161177,7373252600.0,-18.327496,-19.017569,0.5971985459327698
161178,4494808600.0,-18.60321,-19.050526,0.4976828694343567
161179,5427566000.0,-18.723602,-19.199463,0.41461506485939026
161180,18970964000.0,-18.953793,-19.737255,0.4175056517124176
161181,7888927000.0,-18.3285,-19.050842,0.5583063960075378
161182,6299312000.0,-18.870537,-19.350418,0.5045177936553955
161183,4807276500.0,-18.03958,-18.660683,0.08606290817260742
161184,7724189000.0,-18.16879,-18.91404,0.3584032654762268
161185,9401111000.0,-18.408436,-19.150307,0.5251181721687317
161187,4229830700.0,-17.66467,-18.39601,0.5763735771179199
161191,5118816000.0,-17.691265,-18.431442,0.41065531969070435
161197,5699149300.0,-18.057423,-18.787697,0.5361320376396179
161201,3461241000.0,-17.31472,-18.04451,0.5992709994316101
161209,4280337200.0,-17.529398,-18.309326,0.4725886285305023
161214,4184566300.0,-17.182976,-17.99245,0.4761980473995209
161215,3799166200.0,-19.117306,-19.26746,0.5924770832061768
161222,3347489000.0,-19.004667,-19.135674,0.5834947228431702
163675,780977440000.0,-22.052942,-22.87,0.11654072999954224
